,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
1126,215.0,420.0,5.499999999999999,1928.2176359976563,3.999999999999999,63.999999999999986,12.0,5.0,QHD,4G,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1122,40.0,215.0,5.700000000000001,2999.9999999999995,3.0,32.0,12.0,8.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
676,215.0,420.0,4.185169525346212,3340.0000000000023,3.0,32.0,16.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1345,215.0,420.0,7.323141541566187,3299.999999999998,2.0000000000000004,16.0,12.0,5.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1283,215.0,420.0,5.499999999999999,3519.3737167719482,3.999999999999999,63.999999999999986,13.0,8.0,FHD,4G,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1238,420.0,1600.0,5.080312345759665,2999.9999999999995,2.0000000000000004,63.999999999999986,16.0,3.0,QHD,4G,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1363,40.0,215.0,5.499999999999999,3299.999999999998,3.0,16.0,13.0,5.0,FHD,4G,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1623,40.0,215.0,5.499999999999999,4000.0000000000014,2.0000000000000004,16.0,13.0,5.0,FHD,4G,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1318,40.0,215.0,6.400000000000001,4000.0000000000014,3.0,32.0,13.0,8.0,FHD,4G,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1518,215.0,420.0,6.22,3259.9999999999986,3.999999999999999,63.999999999999986,13.0,10.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
383,215.0,420.0,4.4665423163937295,2999.9999999999995,2.0000000000000004,16.0,12.0,13.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1236,215.0,420.0,4.199300415068226,2419.999999999999,2.0000000000000004,16.0,13.0,5.0,QHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
919,215.0,420.0,5.499999999999999,4100.000000000004,3.0,32.0,13.0,8.0,FHD,4G,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1022,40.0,215.0,6.2,3210.0000000000023,2.0000000000000004,63.999999999999986,12.0,20.0,FHD,4G,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200,40.0,215.0,6.390000000000001,3499.9999999999977,0.9999999999999998,127.99999999999997,16.0,20.0,FHD,4G,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
701,215.0,420.0,5.999999999999999,2999.9999999999995,0.9999999999999998,16.0,10.0,2.0,HD,3G,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
854,215.0,420.0,5.499999999999999,3019.9999999999995,5.999999999999998,32.0,13.0,8.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
840,215.0,420.0,4.700000000000001,2000.0,2.0000000000000004,16.0,14.0,5.0,HD,3G,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1071,40.0,215.0,5.0,2999.9999999999995,3.0,32.0,13.0,12.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
838,215.0,420.0,4.5,2000.0,0.9999999999999998,3.9999999999999982,19.0,5.0,HD,3G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1860,215.0,420.0,5.499999999999999,3600.000000000002,3.999999999999999,16.0,12.0,5.0,QHD,4G,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
875,40.0,215.0,6.2,3499.9999999999977,1.5,63.999999999999986,12.0,20.0,FHD,4G,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1135,40.0,215.0,5.499999999999999,3050.000000000001,2.0000000000000004,32.0,16.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
94,215.0,420.0,6.21,3549.9999999999977,0.9999999999999998,63.999999999999986,12.0,8.0,FHD,4G,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1477,40.0,215.0,5.299999999999999,2500.0000000000005,0.9999999999999998,8.000000000000002,10.0,4.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
103,215.0,420.0,6.499999999999999,5000.000000000003,5.999999999999998,127.99999999999997,19.0,16.0,FHD,4G,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1159,40.0,215.0,5.499999999999999,2969.9999999999995,2.0000000000000004,16.0,16.0,8.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
