,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
704,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1
1151,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
762,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
1445,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
1035,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1723,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
1265,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
133,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
485,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
105,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0
1711,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
388,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
708,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0
1845,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
116,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1
1344,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
821,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
473,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
429,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1
31,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1899,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
33,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0
1145,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
595,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
40,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1
1335,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1183,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1
828,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
1072,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1
1127,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
1562,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1
1866,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
979,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1290,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1
839,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
1900,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
1258,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1806,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
1291,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
1742,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
185,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0
303,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
1816,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0
1362,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
803,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1797,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
352,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
291,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
499,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
971,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
42,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1524,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1391,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
459,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1504,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1877,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1101,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
249,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1
1148,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
1282,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1689,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
1476,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0
587,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
443,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1
1247,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1543,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1005,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
505,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1611,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1058,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
225,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
1106,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
698,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1
351,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
16,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
406,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
162,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1
1336,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1
1219,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
71,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
1507,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1
511,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
703,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
1893,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1
804,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
619,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
651,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1519,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
694,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
1835,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
980,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1493,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
404,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1
1481,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1
314,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
1861,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1339,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
918,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1429,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1
1031,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
