misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
220.0,2019.0,6.2,1,0,0,1,1,0,4G,4000.0,0,0,Meizu - 16Xs,1080.0,2232.0,64.0,6.0,48,3.0,16,1.0
420.0,2019.0,6.2,1,0,0,0,1,1,4G,3600.0,0,0,Meizu - 16s,1080.0,2232.0,128.0,6.0,48,2.0,20,1.0
300.0,2020.0,6.5,0,1,0,1,1,0,4G,5000.0,0,1,Motorola - One Fusion+,1080.0,2340.0,128.0,6.0,64,4.0,16,1.0
218.0260668428958,2020.0,6.4,0,1,0,1,1,0,4G,4000.0,0,1,Motorola - Moto G Fast,720.0,1560.0,32.0,3.0,16,3.0,8,1.0
163.51682467006322,2020.0,6.2,0,1,0,1,1,0,4G,3550.0,0,1,Motorola - Moto E (2020),720.0,1520.0,32.0,2.0,13,2.0,5,1.0
329.99,2020.0,6.4,0,1,1,1,1,1,4G,4000.0,0,1,Motorola - Moto G Pro,1080.0,2300.0,128.0,4.0,48,3.0,16,1.0
1200.0,2020.0,6.7,1,0,1,1,1,1,5G,5000.0,1,1,Motorola - Edge+,1080.0,2340.0,256.0,12.0,108,4.0,25,1.0
154.0,2020.0,6.5,0,1,0,1,0,0,4G,5000.0,0,1,Motorola - Moto G8 Power Lite,720.0,1600.0,64.0,4.0,16,3.0,8,1.0
99.99,2020.0,6.1,0,1,0,1,0,0,4G,3000.0,0,1,Motorola - Moto E6s (2020),720.0,1560.0,32.0,2.0,13,2.0,5,1.0
179.89,2020.0,6.4,0,1,0,1,0,0,4G,4000.0,0,0,Motorola - Moto G8,720.0,1560.0,64.0,4.0,16,3.0,8,1.0
212.5860444740471,2020.0,6.4,0,1,1,1,1,0,4G,4000.0,0,1,Motorola - Moto G Stylus,1080.0,2300.0,128.0,4.0,48,3.0,16,1.0
272.5353090157284,2020.0,6.4,0,1,1,1,1,0,4G,5000.0,0,1,Motorola - Moto G Power,1080.0,2300.0,64.0,4.0,16,3.0,16,1.0
229.99,2020.0,6.4,0,1,1,1,0,0,4G,5000.0,0,1,Motorola - Moto G8 Power,1080.0,2300.0,64.0,4.0,16,4.0,16,1.0
296.43,2019.0,6.5,0,1,0,1,1,1,4G,4000.0,0,0,Motorola - One Hyper,1080.0,2340.0,128.0,4.0,64,2.0,32,1.0
1570.73,2019.0,6.2,1,0,0,0,1,1,4G,2510.0,0,1,Motorola - Razr 2019,876.0,2142.0,128.0,6.0,16,2.0,5,1.0
147.16405201821343,2019.0,6.2,0,1,0,1,0,0,4G,4000.0,0,0,Motorola - Moto G8 Play,720.0,1520.0,32.0,2.0,13,3.0,8,1.0
226.99,2019.0,6.3,0,1,1,1,1,1,4G,4000.0,0,1,Motorola - Moto G8 Plus,1080.0,2280.0,64.0,4.0,48,3.0,25,1.0
155.97,2019.0,6.2,0,1,0,1,0,0,4G,4000.0,0,1,Motorola - One Macro,720.0,1520.0,64.0,4.0,13,3.0,8,1.0
108.96,2019.0,6.1,0,1,0,1,0,0,4G,3000.0,0,1,Motorola - Moto E6 Plus,720.0,1560.0,32.0,2.0,13,2.0,8,1.0
299.99,2019.0,6.39,1,1,0,1,1,1,4G,4000.0,0,1,Motorola - One Zoom,1080.0,2340.0,128.0,4.0,48,4.0,25,1.0
165.0,2019.0,6.3,0,1,0,1,1,1,4G,3500.0,0,1,Motorola - One Action,1080.0,2520.0,128.0,4.0,12,3.0,12,1.0
65.40018875896455,2019.0,5.5,0,1,0,1,1,0,4G,3000.0,0,1,Motorola - Moto E6,720.0,1440.0,16.0,2.0,13,1.0,5,1.0
327.04455118856094,2019.0,6.4,1,1,0,1,1,1,4G,3600.0,0,1,Motorola - Moto Z4,1080.0,2340.0,128.0,4.0,48,1.0,25,1.0
319.99,2019.0,6.3,0,1,0,1,1,1,4G,3500.0,0,1,Motorola - One Vision,1080.0,2520.0,128.0,4.0,48,2.0,25,1.0
150.0,2020.0,6.52,0,1,0,1,0,0,4G,4000.0,0,0,Nokia - C5 Endi,720.0,1600.0,64.0,3.0,13,3.0,8,1.0
500.0,2020.0,6.81,0,1,0,1,1,1,5G,4500.0,0,0,Nokia - 8.3 5G,1080.0,2400.0,64.0,6.0,64,4.0,24,1.0
199.84,2020.0,6.55,0,1,0,1,1,1,4G,4000.0,0,0,Nokia - 5.3,720.0,1600.0,64.0,3.0,13,4.0,8,1.0
106.99,2020.0,5.71,0,1,0,1,0,0,4G,3000.0,0,0,Nokia - 1.3,720.0,1520.0,16.0,1.0,8,1.0,5,1.0
107.46,2019.0,6.2,0,1,0,1,0,0,4G,4000.0,0,0,Nokia - 2.3,720.0,1520.0,32.0,2.0,13,1.0,5,1.0
229.0,2019.0,6.3,0,1,0,1,1,1,4G,3500.0,0,0,Nokia - 7.2,1080.0,2280.0,64.0,4.0,48,3.0,20,1.0
167.0,2019.0,6.3,0,1,0,1,1,1,4G,3500.0,0,0,Nokia - 6.2,1080.0,2280.0,32.0,3.0,16,3.0,8,1.0
87.0,2019.0,5.71,0,1,0,1,0,0,4G,3000.0,0,0,Nokia - 2.2,720.0,1520.0,16.0,2.0,13,1.0,5,1.0
800.0,2019.0,6.67,1,0,1,0,1,1,5G,4085.0,0,0,OnePlus - 7T Pro 5G McLaren,1440.0,3120.0,256.0,12.0,48,3.0,16,1.0
672.0,2019.0,6.67,1,0,1,0,1,1,4G,4085.0,0,0,OnePlus - 7T Pro,1440.0,3120.0,256.0,8.0,48,3.0,16,1.0
529.0,2019.0,6.55,1,0,1,0,1,1,4G,3800.0,0,0,OnePlus - 7T,1080.0,2400.0,128.0,8.0,48,3.0,16,1.0
800.0,2019.0,6.67,1,0,1,0,1,1,5G,4000.0,0,0,OnePlus - 7 Pro 5G,1440.0,3120.0,128.0,6.0,48,3.0,16,1.0
470.0,2020.0,6.55,1,0,1,0,1,1,5G,4000.0,0,0,Oppo - Reno4 Pro 5G,1080.0,2400.0,128.0,8.0,48,3.0,32,1.0
370.0,2020.0,6.43,1,0,0,0,1,1,5G,4000.0,0,0,Oppo - Reno4 5G,1080.0,2400.0,128.0,8.0,48,3.0,32,2.0
587.4,2020.0,6.5,1,0,1,0,1,1,5G,4025.0,0,0,Oppo - Find X2 Neo,1080.0,2400.0,256.0,12.0,48,4.0,32,1.0
290.0,2020.0,6.57,0,0,0,1,1,1,5G,4000.0,0,0,Oppo - A92s,1080.0,2400.0,128.0,6.0,48,4.0,16,2.0
520.0,2020.0,6.55,1,0,1,0,1,1,5G,4000.0,1,0,Oppo - Ace2,1080.0,2400.0,128.0,8.0,48,4.0,16,1.0
120.0,2020.0,6.2,0,1,0,1,0,0,4G,4230.0,0,0,Oppo - A12e,720.0,1520.0,64.0,3.0,13,2.0,8,1.0
