misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
3,2020.0,6.6,1,0,1,0,1,1,5G,4500.0,1,0,1080.0,2340.0,128.0,8.0,64.0,4.0,20.0,1.0
3,2020.0,6.2,1,1,1,0,1,1,5G,4000.0,1,1,1440.0,3200.0,128.0,12.0,12.0,3.0,10.0,2.0
3,2020.0,6.2,1,1,1,0,1,1,4G,4000.0,1,1,1440.0,3200.0,128.0,8.0,12.0,3.0,10.0,2.0
3,2020.0,6.67,1,0,1,0,1,1,5G,4780.0,1,0,1080.0,2340.0,128.0,8.0,108.0,4.0,20.0,1.0
3,2020.0,6.7,1,1,1,0,1,1,4G,4500.0,1,1,1440.0,3200.0,128.0,8.0,12.0,4.0,10.0,2.0
3,2020.0,6.57,1,0,1,0,1,1,5G,4000.0,1,1,1080.0,2340.0,256.0,8.0,50.0,4.0,32.0,2.0
3,2020.0,6.8,1,1,1,1,1,1,5G,4300.0,1,1,1080.0,2460.0,128.0,6.0,48.0,3.0,16.0,1.0
3,2020.0,7.1,1,0,1,1,1,0,5G,5000.0,0,0,1440.0,3120.0,256.0,8.0,64.0,3.0,20.0,1.0
3,2020.0,6.2,1,0,1,0,1,1,5G,4000.0,1,1,1440.0,3200.0,128.0,8.0,12.0,3.0,10.0,2.0
3,2020.0,6.58,1,0,0,0,1,1,5G,4200.0,1,1,1200.0,2640.0,128.0,8.0,50.0,4.0,32.0,2.0
3,2020.0,6.67,1,0,1,0,1,1,5G,4500.0,1,0,1080.0,2340.0,256.0,8.0,108.0,4.0,20.0,1.0
3,2020.0,6.7,1,0,1,0,1,1,5G,4260.0,0,1,1440.0,3168.0,256.0,12.0,48.0,3.0,32.0,1.0
3,2020.0,6.7,1,0,1,0,1,1,5G,4200.0,0,1,1440.0,3168.0,128.0,8.0,48.0,3.0,32.0,1.0
3,2020.0,6.7,1,1,1,0,1,1,5G,4500.0,1,1,1440.0,3200.0,128.0,12.0,12.0,4.0,10.0,2.0
3,2020.0,6.9,1,1,1,0,1,1,5G,5000.0,1,1,1440.0,3200.0,128.0,12.0,108.0,4.0,40.0,2.0
3,2020.0,6.7,1,0,1,1,1,1,5G,5000.0,1,1,1080.0,2340.0,256.0,12.0,108.0,4.0,25.0,1.0
3,2020.0,6.9,1,1,1,0,1,1,4G,5000.0,1,1,1440.0,3200.0,128.0,12.0,108.0,4.0,40.0,2.0
3,2020.0,6.7,1,0,0,0,1,1,4G,3300.0,1,0,1080.0,2636.0,256.0,8.0,12.0,2.0,10.0,1.0
3,2020.0,6.5,1,1,1,1,1,1,5G,4000.0,1,1,1644.0,3840.0,256.0,8.0,12.0,4.0,8.0,1.0
3,2020.0,6.58,1,0,0,0,1,1,5G,4200.0,1,1,1200.0,2640.0,256.0,8.0,50.0,5.0,32.0,2.0
0,2019.0,5.5,0,1,0,1,1,0,4G,3000.0,0,1,720.0,1440.0,16.0,2.0,13.0,1.0,5.0,1.0
0,2019.0,5.5,0,1,0,1,0,0,3G,2200.0,0,0,720.0,1440.0,16.0,1.0,8.0,1.0,8.0,1.0
0,2019.0,5.71,0,1,0,1,0,0,4G,3000.0,0,0,720.0,1520.0,16.0,2.0,13.0,1.0,8.0,1.0
0,2019.0,5.5,0,1,0,1,0,0,3G,2200.0,0,0,720.0,1440.0,32.0,1.0,8.0,1.0,8.0,1.0
0,2019.0,5.0,0,1,0,1,0,0,4G,2600.0,0,0,540.0,960.0,8.0,1.0,5.0,1.0,5.0,1.0
0,2019.0,5.5,0,1,0,1,0,0,4G,3050.0,0,0,720.0,1440.0,32.0,2.0,13.0,2.0,8.0,1.0
0,2019.0,6.0,0,1,0,1,0,0,3G,2800.0,0,0,720.0,1440.0,16.0,1.0,8.0,1.0,8.0,1.0
0,2019.0,6.21,0,1,0,1,1,0,4G,3500.0,0,0,720.0,1520.0,32.0,2.0,13.0,3.0,8.0,1.0
0,2019.0,5.99,0,1,0,1,0,0,4G,4000.0,0,0,720.0,1440.0,16.0,2.0,13.0,2.0,5.0,1.0
0,2019.0,5.45,0,1,0,1,0,0,4G,2600.0,0,0,720.0,1440.0,16.0,2.0,13.0,1.0,8.0,1.0
0,2019.0,6.01,0,1,0,1,0,0,4G,3200.0,0,0,720.0,1560.0,32.0,2.0,16.0,1.0,5.0,1.0
0,2019.0,6.0,0,1,0,1,0,0,3G,2800.0,0,0,720.0,1440.0,32.0,1.0,8.0,1.0,8.0,1.0
0,2019.0,5.0,0,1,0,1,0,0,4G,3000.0,0,0,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
0,2019.0,6.2,0,1,0,1,0,0,4G,4230.0,0,0,720.0,1520.0,32.0,2.0,13.0,2.0,5.0,1.0
0,2019.0,5.5,0,1,0,1,0,0,4G,3050.0,0,0,720.0,1440.0,32.0,3.0,13.0,2.0,8.0,1.0
0,2019.0,5.71,0,1,0,1,0,0,4G,3000.0,0,0,720.0,1520.0,16.0,2.0,13.0,1.0,5.0,1.0
